Job_Description,Label
"Work from home and earn ₹51876. Hurry, only few slots left!",1
Earn ₹12319 weekly working from home. No skills required!,1
Immediate opening: Pay ₹1219 upfront for guaranteed placement!,1
Hiring Software Engineer with strong knowledge of Java and Spring Boot.,0
Data Scientist needed with 2+ years of experience in Python and ML.,0
"Full Stack Developer needed, expertise in Django and React preferred.",0
No interview required! Just pay ₹6624 and get instant job confirmation.,1
We are looking for a Business Analyst with 4 years of experience in finance domain.,0
Get job placement by paying only ₹3923 as security deposit.,1
Looking for Marketing Manager with 7 years of experience.,0
"Frontend Developer role, React + Node.js experience required.",0
Immediate opening: Pay ₹2572 upfront for guaranteed placement!,1
"Frontend Developer role, React + Node.js experience required.",0
"Simple typing work from home. Earn ₹35933 per month, no experience needed.",1
Work from home! Fill surveys and get paid daily. Limited seats.,1
"Mobile App Developer required, must have strong knowledge of Flutter.",0
"Mobile App Developer required, must have strong knowledge of Flutter.",0
Job guaranteed if you pay registration fee of ₹4078 upfront.,1
Immediate opening: Pay ₹6186 upfront for guaranteed placement!,1
Hiring Software Engineer with strong knowledge of Java and Spring Boot.,0
Data Scientist needed with 3+ years of experience in Python and ML.,0
Immediate opening: Pay ₹5614 upfront for guaranteed placement!,1
"Work from home and earn ₹11564. Hurry, only few slots left!",1
"Simple typing work from home. Earn ₹57324 per month, no experience needed.",1
Hiring Cloud Engineer with hands-on experience in AWS and Azure.,0
"Simple typing work from home. Earn ₹56613 per month, no experience needed.",1
Work from home! Fill surveys and get paid daily. Limited seats.,1
Hiring Software Engineer with strong knowledge of Java and Spring Boot.,0
"Work 1 hour daily, earn ₹41169 instantly. Register now!",1
Work from home! Fill surveys and get paid daily. Limited seats.,1
We are looking for a Business Analyst with 3 years of experience in finance domain.,0
"Simple typing work from home. Earn ₹28994 per month, no experience needed.",1
Hiring Cloud Engineer with hands-on experience in AWS and Azure.,0
Hiring Cloud Engineer with hands-on experience in AWS and Azure.,0
Hiring Cloud Engineer with hands-on experience in AWS and Azure.,0
Looking for Marketing Manager with 5 years of experience.,0
"Simple typing work from home. Earn ₹45698 per month, no experience needed.",1
No interview required! Just pay ₹4952 and get instant job confirmation.,1
Job guaranteed if you pay registration fee of ₹8325 upfront.,1
Get job placement by paying only ₹9626 as security deposit.,1
"Mobile App Developer required, must have strong knowledge of Flutter.",0
"Work 1 hour daily, earn ₹38609 instantly. Register now!",1
We are looking for a Business Analyst with 5 years of experience in finance domain.,0
Work from home! Fill surveys and get paid daily. Limited seats.,1
"Part-time online job, no skills needed, deposit ₹6617 to start.",1
